title,author,url,abstract
A conflicts’ classification for IoT-based services: a comparative survey,Hamada Ibrhim   Hesham Hassan   Emad Nabil,not Available,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
Emerging IoT Applications in Sustainable Smart Cities for COVID-19: Network Security and Data Preservation Challenges with Future Directions,Muhammad Adil   Muhammad Khurram Khan,not Available,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
Suitability of NB-IoT for Indoor Industrial Environment: A Survey and Insights,Muhammad Dangana   Shuja Ansari   Qammer H. Abbasi   Sajjad Hussain   Muhammad Ali Imran,not Available,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
IoT Intrusion Detection Taxonomy   Reference Architecture   and Analyses,Khalid Albulayhi   Abdallah A. Smadi   Frederick T. Sheldon   Robert K. Abercrombie,not Available,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
From WSN towards WoT: Open API Scheme Based on oneM2M Platforms,Jaeho Kim   Sung-Chan Choi   Il-Yeup Ahn   Nak-Myoung Sung   Jaeseok Yun,not Available,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
Protocol-Based and Hybrid Access Control for the IoT: Approaches and Research Opportunities,Shantanu Pal   Zahra Jadidi,not Available,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
The Art of Designing Remote IoT Devices—Technologies and Strategies for a Long Battery Life,Gilles Callebaut   Guus Leenders   Jarne Van Mulders   Geoffrey Ottoy   Lieven De Strycker   Liesbet Van der Perre,not Available,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
A Framework for Malicious Traffic Detection in IoT Healthcare Environment,Faisal Hussain   Syed Ghazanfar Abbas   Ghalib A. Shah   Ivan Miguel Pires   Ubaid U. Fayyaz   Farrukh Shahzad   Nuno M. Garcia   Eftim Zdravevski,not Available,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
Recent Advances on IoT-Assisted Wearable Sensor Systems for Healthcare Monitoring,Shwetank Dattatraya Mamdiwar   Akshith R   Zainab Shakruwala   Utkarsh Chadha   Kathiravan Srinivasan   Chuan-Yu Chang,not Available,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
Internet of Things (IoT): Opportunities   issues and challenges towards a smart and sustainable future,Sandro Nižetić   Petar Šolić   Diego López-de-Ipiña González-de-Artaza   Luigi Patrono,not Available,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
