title,author,url,abstract
A conflicts’ classification for IoT-based services: a comparative survey,Hamada Ibrhim   Hesham Hassan   Emad Nabil,/pmc/articles/PMC8093958/,Recently   Internet of Things (IoT)-based systems   especially automation systems   have become an indispensable part of modern-day lives to support the controlling of the networked devices and providing context-aware and intelligent environments. IoT-based services/apps developed by the end-users interact with each other and share concurrent access to devices according to their preferences   which increases safety   security   and correctness issues in IoT systems. Due to the critical impacts resulting from these issues   IoT-based apps require a customized type of compilers or checking tools that capable of analyzing the structures of these apps and detecting different types of errors and conflicts either in intra-IoT app instructions or in inter-IoT apps interactions. A plethora of approaches and frameworks have been proposed to assist the best practices for end-users in developing their IoT-based apps and mitigate these errors and conflicts. This paper focuses on conflict classification and detection approaches in the context of IoT systems by investigating the current research techniques that provided conflicts’ classification or detection in IoT systems (published between 2014 and 2020). A classification of IoT-based apps interaction conflicts is proposed. The proposed conflicts’ classification provides a priori conflicts detection method based on the analysis of IoT app instructions’ relationships with utilizing the state-of-the-art Satisfiability Modulo Theories (SMT) model checking and formal notations. The current detection approaches are compared with each other according to the proposed conflicts’ classification to determine to which extend they cover different conflicts. Based on this comparison   we provide evidence that the existing approaches have a gap in covering different conflicts’ levels and types which yields to minimize the correctness and safety of IoT systems. We point out the need to develop a safety and security compiler or tool for IoT systems. Also   we recommend using a hybrid approach that combines model checking with a variety of languages and semantic technologies in developing future IoT-based apps verification frameworks to cover all levels and types of conflicts to guarantee and increase the safety   security   and correctness of IoT systems.
Emerging IoT Applications in Sustainable Smart Cities for COVID-19: Network Security and Data Preservation Challenges with Future Directions,Muhammad Adil   Muhammad Khurram Khan,/pmc/articles/PMC8434888/,COVID-19 is a global infectious disease that can be easily spread by the contiguity of infected people. To prevent from COVID-19 and reduce its impact in sustainable smart cities   the global research communities are working relentlessly by harnessing the emerging technologies to develop the safest diagnosis   evaluation   and treatment procedures   and Internet of Things (IoT) is one of the pioneers among them. IoT can perform a pivotal role to diminish its immense contagious rate by suitable utilization in emerging healthcare IoT applications in sustainable smart cities. Therefore   the focus of this paper is to outline a survey of the emerging healthcare IoT applications practiced in the perspective of COVID-19 pandemic in terms of network architecture security   trustworthiness   authentication   and data preservation followed by identifying existing challenges to set the future research directions. The salient contributions of this work deal with the accomplishment of a detailed and comprehensive literature review of COVID-19 starting from 2019 through 2021 in the context of emerging healthcare IoT technology. In addition   we extend the correlated contributions of this work by highlighting the weak aspects of the existing emerging healthcare IoT applications   security of different network layers and secure communication environment followed by some associated requirements to address these challenges. Moreover   we also identify future research directions in sustainable smart cities for emerging healthcare IoT utilization in the context of COVID-19 with the most productive results and least network implementation costs.
Suitability of NB-IoT for Indoor Industrial Environment: A Survey and Insights,Muhammad Dangana   Shuja Ansari   Qammer H. Abbasi   Sajjad Hussain   Muhammad Ali Imran,/pmc/articles/PMC8399864/,The Internet of Things (IoT) and its applications in industrial settings are set to bring in the fourth industrial revolution. The industrial environment consisting of high profile manufacturing plants and a variety of equipment is inherently characterized by high reflectiveness   causing significant multi-path components that affect the propagation of wireless communications—a challenge among others that needs to be resolved. This paper provides a detailed insight into Narrow-Band IoT (NB-IoT)   Industrial IoT (IIoT)   and Wireless Sensor Networks (WSN) within the context of indoor industrial environments. It presents the applications of NB-IoT for industrial settings   such as the challenges associated with these applications. Furthermore   future research directions were put forth in the areas of NB-IoT network management using self-organizing network (SON) technology   edge computing for scalability enhancement   security in NB-IoT generated data   and proposing a suitable propagation model for reliable wireless communications.
IoT Intrusion Detection Taxonomy   Reference Architecture   and Analyses,Khalid Albulayhi   Abdallah A. Smadi   Frederick T. Sheldon   Robert K. Abercrombie,/pmc/articles/PMC8512890/,This paper surveys the deep learning (DL) approaches for intrusion-detection systems (IDSs) in Internet of Things (IoT) and the associated datasets toward identifying gaps   weaknesses   and a neutral reference architecture. A comparative study of IDSs is provided   with a review of anomaly-based IDSs on DL approaches   which include supervised   unsupervised   and hybrid methods. All techniques in these three categories have essentially been used in IoT environments. To date   only a few have been used in the anomaly-based IDS for IoT. For each of these anomaly-based IDSs   the implementation of the four categories of feature(s) extraction   classification   prediction   and regression were evaluated. We studied important performance metrics and benchmark detection rates   including the requisite efficiency of the various methods. Four machine learning algorithms were evaluated for classification purposes: Logistic Regression (LR)   Support Vector Machine (SVM)   Decision Tree (DT)   and an Artificial Neural Network (ANN). Therefore   we compared each via the Receiver Operating Characteristic (ROC) curve. The study model exhibits promising outcomes for all classes of attacks. The scope of our analysis examines attacks targeting the IoT ecosystem using empirically based   simulation-generated datasets (namely the Bot-IoT and the IoTID20 datasets).
From WSN towards WoT: Open API Scheme Based on oneM2M Platforms,Jaeho Kim   Sung-Chan Choi   Il-Yeup Ahn   Nak-Myoung Sung   Jaeseok Yun,/pmc/articles/PMC5087433/,Conventional computing systems have been able to be integrated into daily objects and connected to each other due to advances in computing and network technologies   such as wireless sensor networks (WSNs)   forming a global network infrastructure   called the Internet of Things (IoT). To support the interconnection and interoperability between heterogeneous IoT systems   the availability of standardized   open application programming interfaces (APIs) is one of the key features of common software platforms for IoT devices   gateways   and servers. In this paper   we present a standardized way of extending previously-existing WSNs towards IoT systems   building the world of the Web of Things (WoT). Based on the oneM2M software platforms developed in the previous project   we introduce a well-designed open API scheme and device-specific thing adaptation software (TAS) enabling WSN elements   such as a wireless sensor node   to be accessed in a standardized way on a global scale. Three pilot services are implemented (i.e.   a WiFi-enabled smart flowerpot   voice-based control for ZigBee-connected home appliances   and WiFi-connected AR.Drone control) to demonstrate the practical usability of the open API scheme and TAS modules. Full details on the method of integrating WSN elements into three example systems are described at the programming code level   which is expected to help future researchers in integrating their WSN systems in IoT platforms   such as oneM2M. We hope that the flexibly-deployable   easily-reusable common open API scheme and TAS-based integration method working with the oneM2M platforms will help the conventional WSNs in diverse industries evolve into the emerging WoT solutions.
Protocol-Based and Hybrid Access Control for the IoT: Approaches and Research Opportunities,Shantanu Pal   Zahra Jadidi,/pmc/articles/PMC8539538/,Internet of Things (IoT) applications and services are becoming more prevalent in our everyday life. However   such an interconnected network of intelligent physical entities needs appropriate security to sensitive information. That said   the need for proper authentication and authorization is paramount. Access control is in the front line of such mechanisms. Access control determines the use of resources only to the specified and authorized users based on appropriate policy enforcement. IoT demands more sophisticated access control in terms of its usability and efficiency in protecting sensitive information. This conveys the need for access control to serve system-specific requirements and be flexibly combined with other access control approaches. In this paper   we discuss the potential for employing protocol-based and hybrid access control for IoT systems and examine how that can overcome the limitations of traditional access control mechanisms. We also focus on the key benefits and constraints of this integration. Our work further enhances the need to build hierarchical access control for large-scale IoT systems (e.g.   Industrial IoT (IIoT) settings) with protocol-based and hybrid access control approaches. We   moreover   list the associated open issues to make such approaches efficient for access control in large-scale IoT systems.
The Art of Designing Remote IoT Devices—Technologies and Strategies for a Long Battery Life,Gilles Callebaut   Guus Leenders   Jarne Van Mulders   Geoffrey Ottoy   Lieven De Strycker   Liesbet Van der Perre,/pmc/articles/PMC7866251/,Long-range wireless connectivity technologies for sensors and actuators open the door for a variety of new Internet of Things (IoT) applications. These technologies can be deployed to establish new monitoring capabilities and enhance efficiency of services in a rich diversity of domains. Low energy consumption is essential to enable battery-powered IoT nodes with a long autonomy. This paper explains the challenges posed by combining low-power and long-range connectivity. An energy breakdown demonstrates the dominance of transmit and sleep energy. The principles for achieving both low-power and wide-area are outlined   and the landscape of available networking technologies that are suited to connect remote IoT nodes is sketched. The typical anatomy of such a node is presented   and the subsystems are zoomed into. The art of designing remote IoT devices requires an application-oriented approach   where a meticulous design and smart operation are essential to grant a long battery life. In particular we demonstrate the importance of strategies such as “think before you talk” and “race to sleep”. As maintenance of IoT nodes is often cumbersome due to being deployed at hard to reach places   extending the battery life of these devices is critical. Moreover   the environmental impact of batteries further demonstrates the need for a longer battery life in order to reduce the number of batteries used.
A Framework for Malicious Traffic Detection in IoT Healthcare Environment,Faisal Hussain   Syed Ghazanfar Abbas   Ghalib A. Shah   Ivan Miguel Pires   Ubaid U. Fayyaz   Farrukh Shahzad   Nuno M. Garcia   Eftim Zdravevski,/pmc/articles/PMC8123414/,The Internet of things (IoT) has emerged as a topic of intense interest among the research and industrial community as it has had a revolutionary impact on human life. The rapid growth of IoT technology has revolutionized human life by inaugurating the concept of smart devices   smart healthcare   smart industry   smart city   smart grid   among others. IoT devices’ security has become a serious concern nowadays   especially for the healthcare domain   where recent attacks exposed damaging IoT security vulnerabilities. Traditional network security solutions are well established. However   due to the resource constraint property of IoT devices and the distinct behavior of IoT protocols   the existing security mechanisms cannot be deployed directly for securing the IoT devices and network from the cyber-attacks. To enhance the level of security for IoT   researchers need IoT-specific tools   methods   and datasets. To address the mentioned problem   we provide a framework for developing IoT context-aware security solutions to detect malicious traffic in IoT use cases. The proposed framework consists of a newly created   open-source IoT data generator tool named IoT-Flock. The IoT-Flock tool allows researchers to develop an IoT use-case comprised of both normal and malicious IoT devices and generate traffic. Additionally   the proposed framework provides an open-source utility for converting the captured traffic generated by IoT-Flock into an IoT dataset. Using the proposed framework in this research   we first generated an IoT healthcare dataset which comprises both normal and IoT attack traffic. Afterwards   we applied different machine learning techniques to the generated dataset to detect the cyber-attacks and protect the healthcare system from cyber-attacks. The proposed framework will help in developing the context-aware IoT security solutions   especially for a sensitive use case like IoT healthcare environment.
Recent Advances on IoT-Assisted Wearable Sensor Systems for Healthcare Monitoring,Shwetank Dattatraya Mamdiwar   Akshith R   Zainab Shakruwala   Utkarsh Chadha   Kathiravan Srinivasan   Chuan-Yu Chang,/pmc/articles/PMC8534204/,IoT has played an essential role in many industries over the last few decades. Recent advancements in the healthcare industry have made it possible to make healthcare accessible to more people and improve their overall health. The next step in healthcare is to integrate it with IoT-assisted wearable sensor systems seamlessly. This review rigorously discusses the various IoT architectures   different methods of data processing   transfer   and computing paradigms. It compiles various communication technologies and the devices commonly used in IoT-assisted wearable sensor systems and deals with its various applications in healthcare and their advantages to the world. A comparative analysis of all the wearable technology in healthcare is also discussed with tabulation of various research and technology. This review also analyses all the problems commonly faced in IoT-assisted wearable sensor systems and the specific issues that need to be tackled to optimize these systems in healthcare and describes the various future implementations that can be made to the architecture and the technology to improve the healthcare industry.
Internet of Things (IoT): Opportunities   issues and challenges towards a smart and sustainable future,Sandro Nižetić   Petar Šolić   Diego López-de-Ipiña González-de-Artaza   Luigi Patrono,/pmc/articles/PMC7368922/,The rapid development and implementation of smart and IoT (Internet of Things) based technologies have allowed for various possibilities in technological advancements for different aspects of life. The main goal of IoT technologies is to simplify processes in different fields   to ensure a better efficiency of systems (technologies or specific processes) and finally to improve life quality. Sustainability has become a key issue for population where the dynamic development of IoT technologies is bringing different useful benefits   but this fast development must be carefully monitored and evaluated from an environmental point of view to limit the presence of harmful impacts and ensure the smart utilization of limited global resources. Significant research efforts are needed in the previous sense to carefully investigate the pros and cons of IoT technologies. This review editorial is partially directed on the research contributions presented at the 4th International Conference on Smart and Sustainable Technologies held in Split and Bol   Croatia   in 2019 (SpliTech 2019) as well as on recent findings from literature. The SpliTech2019 conference was a valuable event that successfully linked different engineering professions   industrial experts and finally researchers from academia. The focus of the conference was directed towards key conference tracks such as Smart City   Energy/Environment   e-Health and Engineering Modelling. The research presented and discussed at the SpliTech2019 conference helped to understand the complex and intertwined effects of IoT technologies on societies and their potential effects on sustainability in general. Various application areas of IoT technologies were discussed as well as the progress made. Four main topical areas were discussed in the herein editorial   i.e. latest advancements in the further fields: (i) IoT technologies in Sustainable Energy and Environment   (ii) IoT enabled Smart City   (iii) E-health – Ambient assisted living systems (iv) IoT technologies in Transportation and Low Carbon Products. The main outcomes of the review introductory article contributed to the better understanding of current technological progress in IoT application areas as well as the environmental implications linked with the increased application of IoT products.
